Concepticon_Gloss.xo,Concepticon_Gloss.yo,xo_source_score,xo_source_odds,labels
SNOW,HAIL,6074395.0,11.985240439944933,1.0
NEW,DUSTPAN,11621887.0,11.983147410177954,1.0
MONEY,BURDEN STICK,11230138.0,11.875253576566118,1.0
WAVE,CURRENT (STREAM),3880611.0,11.806258765831739,1.0
WOLF,HOPS,3880611.0,11.806258765831739,1.0
LEFT,LEFT HANDED,4639488.333333358,11.789864003489976,1.0
THROW,SLING,10881916.666666739,11.774505556374303,1.0
HUNDRED,HAN CHINESE,5818631.0,11.725065880428406,1.0
WHO,SOMEONE,10664278.333333261,11.709070161398193,1.0
EAR,GILL,7443791.999999981,11.679208658046935,1.0
DUST,LIME (MATERIAL),10533695.333333263,11.668853350274125,1.0
SLEEP,FALL ASLEEP,17075964.42857155,11.628064871452652,1.0
ASK (REQUEST),BEG,10403112.333333267,11.627895653228231,1.0
HILL,RIDGE,10316057.0,11.627895653228219,1.0
MOON,MOON OR MONTH,17038269.142857023,11.602087378416186,1.0
VOICE,CALL (APPEAL),16623621.0,11.552924773743669,1.0
RAIN (PRECIPITATION),SPERM,10098418.666666722,11.529328940459173,1.0
WANT,LONGING (WISH),16322058.714285728,11.520555886260226,1.0
WANT,HOPE (SOMETHING),16322058.714285728,11.520555886260226,1.0
MAT,MATTRESS,4470779.666666639,11.519273167007132,1.0
IRON,BIRCH,9880780.333333282,11.456230877600976,1.0
SMALL,FEW PIECES,15718934.142857192,11.443191448856538,1.0
REPAIR,DECORATE,5498926.0,11.383092717084395,1.0
HAIR (HEAD),LONG HAIR,14927333.142857194,11.355418211819956,1.0
ASH,LIME (MATERIAL),9489031.33333328,11.3186086883263,1.0
OLD (AGED),TALL (PERSON),14550380.285714261,11.272717170909667,1.0
GOOSE,SWAN,3630249.0,11.22911388881156,1.0
SHAKE,EARTHQUAKE,9140810.0,11.22225307234125,1.0
HIGH,TALL (PERSON),14022646.285714254,11.208646994194076,1.0
SKIN,LOINCLOTH,29055912.0,11.17072067015185,1.0
DEITY,CLAY POT,5179221.0,11.168348280613532,1.0
SPRINGTIME,CLOSED,5307103.0,11.1683482806135,1.0
ROOM,SQUARE,9010227.0,11.13894929340373,1.0
POT,WOK,8923171.666666713,11.104828135927443,1.0
BAD,EXCRETA,13344131.14285721,11.077429283783939,1.0
LOOK FOR,OTTER,13268740.571428543,11.064275666492454,1.0
LIGHT (WEIGHT),WOK,8749061.0,11.035162585670529,1.0
STRIKE (SOMEONE),BRAWL (FIGHT),5179221.0,11.020967013498783,1.0
PROUD,INSOLENT,3505068.0,10.933247657429474,1.0
DARKNESS,SLAP,8487895.0,10.926954598644603,1.0
PLANT (VEGETATION),THOUSAND,8400839.666666646,10.889853583762587,1.0
WING,SLEEVE,8313784.333333356,10.889853583762534,1.0
ENTER,YEAST,8313784.333333356,10.871103388296438,1.0
IMITATE,CHEW BETEL,8313784.333333357,10.8522181498848,1.0
BUILD,BRAID (VERB),11610148.0,10.741084250090156,1.0
SHUT,ABSTAIN FROM FOOD,6099774.000000047,10.740902349375693,1.0
